Product Name,Article Number,Product Description,Designer,Number of Ratings,Overall Rating,Product Department,Product Subfunction,Number of Packages,Package Width,Package Height,Package Length,Package Weight
na,na,na,na,na,na,Dining,na,na,na,na,na,na
JANINGE,702.460.89,"Challenged to solve the equation of combining design, function and quality in one chair, our designers came up with JANINGE chair. Durable enough for restaurant use – with a design you want to take home.",John/Jonas/Petrus/Paul/Caroline,39,3.7,Dining,Café chairs,1,45 cm,20 cm,45 cm,12.76 kg
JANINGE,102.813.54,"Challenged to solve the equation of combining design, function and quality in one chair, our designers came up with JANINGE chair. Durable enough for restaurant use – with a design you want to take home.",John/Jonas/Petrus/Paul/Caroline,26,4.6,Dining,Bar stools,1,45 cm,20 cm,45 cm,12.76 kg
STIG,801.552.05,"The stool can be stacked, so you can keep several on hand and store them in the same space as one.",Henrik Preutz,53,4.3,Dining,Bar stools,1,48 cm,6 cm,80 cm,4.44 kg
BERNHARD,802.726.62,"The chrome-plated underframe is topped with a soft, padded seat in durable leather. Have a seat and enjoy the comfort – it’s easy to care for, and will keep its beauty over many years.",Ola Wihlborg,21,4.9,Dining,Bar stools,1,54 cm,35 cm,66 cm,6.95 kg
BERNHARD,403.347.42,You sit comfortably thanks to the restful flexibility of the seat.,Ola Wihlborg,14,4.9,Dining,Bar stools,1,54 cm,35 cm,66 cm,6.95 kg
BERNHARD,804.048.46,Here’s a chair the whole family will love. Parents love the look and comfort while the youngest family members appreciate the stability – and it’s okay to spill since the leather is easy to wipe clean.,Ola Wihlborg,na,See Reviews,Dining,Bar stools,1,54 cm,35 cm,66 cm,6.95 kg
BERNHARD,604.048.47,Here’s a chair the whole family will love. Parents love the look and comfort while the youngest family members appreciate the stability – and it’s okay to spill since the leather is easy to wipe clean.,Ola Wihlborg,2,3,Dining,Bar stools,1,54 cm,35 cm,66 cm,6.95 kg
INGOLF,001.217.66,Why not have the same style throughout your home? INGOLF series looks just as nice in the kitchen and dining room as in the bedroom or hallway. The solid wood construction holds up well.,Carina Bengs,63,4.7,Dining,Bar stools,1,42 cm,13 cm,106 cm,9.34 kg
INGOLF,902.485.15,Why not have the same style throughout your home? INGOLF series looks just as nice in the kitchen and dining room as in the bedroom or hallway. The solid wood construction holds up well.,Carina Bengs,18,2.8,Dining,Bar stools,1,46 cm,8 cm,115 cm,5.97 kg
INGOLF,402.485.13,Why not have the same style throughout your home? INGOLF series looks just as nice in the kitchen and dining room as in the bedroom or hallway. The solid wood construction holds up well.,Carina Bengs,44,3.6,Dining,Bar stools,1,46 cm,8 cm,105 cm,5.75 kg
HENRIKSDAL,603.198.68,"Soft, hardwearing and easy care leather, which ages gracefully.",Karl Malmvall,21,4.6,Dining,Bar stools,1,51 cm,18 cm,106 cm,12.01 kg
HENRIKSDAL,003.198.71,"Soft, hardwearing and easy care leather, which ages gracefully.",Karl Malmvall,8,4.5,Dining,Bar stools,1,51 cm,19 cm,115 cm,12.20 kg
FANBYN,103.567.78,,,32,4.1,Dining,Bar tables,1,84 cm,9 cm,146 cm,24.44 kg
FRANKLIN,504.064.65,"You can fold the chairs, so they take less space when you're not using them.",K Hagberg/M Hagberg,14,4.5,Dining,Bar stools,1,52 cm,13 cm,110 cm,5.49 kg
FRANKLIN,604.067.85,"You can fold the chairs, so they take less space when you're not using them.",K Hagberg/M Hagberg,4,4.8,Dining,Bar stools,1,53 cm,11 cm,115 cm,5.80 kg
FRANKLIN,704.048.75,"You can fold the chairs, so they take less space when you're not using them.",K Hagberg/M Hagberg,5,4.8,Dining,Bar stools,1,52 cm,13 cm,110 cm,5.49 kg
FRANKLIN,904.048.79,"You can fold the chairs, so they take less space when you're not using them.",K Hagberg/M Hagberg,3,4.3,Dining,Bar stools,1,53 cm,11 cm,115 cm,5.80 kg
BOSSE,700.872.12,"Easy to move thanks to the hole in the seat.
								                                                                                          
								Solid wood is a durable natural material.",Franz James,8,4.4,Dining,Bar stools,1,41 cm,10 cm,75 cm,6.18 kg
SKOGSTA,702.979.55,Solid wood is a durable natural material which can be sanded and surface treated when required.,Marcus Arvonen,12,4,Dining,Bar stools,1,29 cm,5 cm,99 cm,4.00 kg
RÅSKOG,303.522.46,"Easy to move thanks to the hole in the seat.
								                                                                                          
								Plastic feet protect the furniture when in contact with a damp surface.",Nike Karlsson,12,5,Dining,Bar stools,1,39 cm,8 cm,66 cm,4.75 kg
DALFRED,601.556.02,You can adjust the height as you like.,Sarah Fager,14,4.1,Dining,Bar stools,1,38 cm,7 cm,63 cm,4.59 kg
NORRARYD,003.977.36,Inspired by our Scandinavian design heritage using simple materials and expressions. It’s been tested and approved for public use – so you can be sure it will handle the demands of family-life at home.,Nike Karlsson,na,See Reviews,Dining,Bar stools,1,52 cm,48 cm,75 cm,6.90 kg
NORRÅKER,403.390.04,Each table expresses straightforward Scandinavian design in birch with varying grain patterns and natural color shifts. Approved for public use – so you know it can handle eager children and wild friends.,J Karlsson/N Karlsson,12,4.7,Dining,Bar tables,1,77 cm,4 cm,77 cm,9.82 kg
NORRÅKER,303.050.52,Each table expresses straightforward Scandinavian design in birch with varying grain patterns and natural color shifts. Approved for public use – so you know it can handle eager children and wild friends.,J Karlsson/N Karlsson,7,4.6,Dining,Bar tables,1,78 cm,4 cm,81 cm,10.30 kg
STORNÄS,702.176.52,"When all you want is a simple, sturdy table that’s not too deep and at a bar table height that encourages conversation. Made of natural solid pine for an honest feel.",Carina Bengs,15,4.9,Dining,Bar tables,1,73 cm,5 cm,130 cm,15.10 kg
NORBERG,301.805.04,Becomes a practical shelf for small things when folded down.,Marcus Arvonen,24,4.1,Dining,Bar tables,1,47 cm,5 cm,76 cm,8.88 kg
HENRIKSDAL,203.366.24,The cover for HENRIKSDAL bar stool with backrest is easy to put on and take off.,IKEA of Sweden,3,4.7,Dining,Bar stools,1,19 cm,4 cm,22 cm,0.37 kg
HENRIKSDAL,901.881.87,The cover for HENRIKSDAL bar stool with backrest is easy to put on and take off.,IKEA of Sweden,7,3.7,Dining,Bar stools,1,18 cm,3 cm,22 cm,0.44 kg
EKEDALEN,003.407.59,Easy to combine with chairs and benches in the same series.,Ehlén Johansson,na,See Reviews,Dining,Bar tables,1,31 cm,9 cm,106 cm,12.50 kg
HENRIKSDAL,404.379.24,The weaving technique gives velvet fabric its characteristic soft feel and slight shine. This velvet is woven from viscose and polyester which gives good resistance to abrasion.,IKEA of Sweden,na,See Reviews,Dining,Bar stools,1,17 cm,3 cm,20 cm,0.34 kg
JOKKMOKK,503.921.28,Solid pine; a natural material that ages beautifully.,IKEA of Sweden,8,4.1,Dining,Bar tables,1,76 cm,17 cm,129 cm,36.34 kg
HENRIKSDAL,904.261.31,"The padded seat means you sit comfortably.
								                                                                                          
								Footrest for extra sitting comfort.",Karl Malmvall,39,4.3,Dining,Bar stools,1,51 cm,19 cm,106 cm,11.40 kg
HENRIKSDAL,304.379.10,The weaving technique gives velvet fabric its characteristic soft feel and slight shine. This velvet is woven from viscose and polyester which gives good resistance to abrasion.,IKEA of Sweden,na,See Reviews,Dining,Bar stools,1,19 cm,4 cm,21 cm,0.35 kg
HENRIKSDAL,203.367.18,The cover for HENRIKSDAL bar stool with backrest is easy to put on and take off.,IKEA of Sweden,16,4.3,Dining,Bar stools,1,19 cm,5 cm,22 cm,0.41 kg
VOLFGANG,904.358.85,"A soft, padded seat with restful flexibility – that’s how it feels when you sit down for a nice long meal in VOLFGANG bar stool or dining chair – both are just as comfortable.",IKEA of Sweden,na,See Reviews,Dining,Bar stools,1,52 cm,42 cm,67 cm,7.12 kg
VOLFGANG,204.358.84,"A soft, padded seat with restful flexibility – that’s how it feels when you sit down for a nice long meal in VOLFGANG bar stool or dining chair – both are just as comfortable.",IKEA of Sweden,na,See Reviews,Dining,Bar stools,1,52 cm,42 cm,67 cm,7.12 kg
SNOBBIG,603.437.69,Protects the table top surface and reduces noise from plates and flatware.,Iina Vuorivirta,5,4.8,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.06 kg
SOARÉ,400.825.36,Just as welcoming on casual summer evenings as in the winter. It’s handmade from water hyacinth – a plant that is harvested in tropical waterways to control its growth so it doesn’t clog the water flow.,Sandra Kragnert,8,4.9,Dining,Place mats & coasters,1,na,1 cm,na,0.24 kg
LÄTTAD,002.362.39,Protects the table top surface and reduces noise from plates and flatware.,,13,4.8,Dining,Place mats & coasters,1,na,1 cm,na,0.35 kg
IHÅLLIG,003.428.76,Protects the table top surface and reduces noise from plates and flatware.,Iina Vuorivirta,7,4.6,Dining,Place mats & coasters,1,na,na,1 cm,0.19 kg
SLUTEN,303.428.70,Protects the table top surface and reduces noise from plates and flatware.,Iina Vuorivirta,5,4.8,Dining,Place mats & coasters,1,na,na,0 cm,0.06 kg
TOGA,401.654.71,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,6,4.5,Dining,Place mats & coasters,1,na,na,35 cm,0.16 kg
MÖDA,503.428.74,Protects the table top surface and reduces noise from plates and flatware.,Iina Vuorivirta,na,See Reviews,Dining,Place mats & coasters,1,35 cm,1 cm,45 cm,0.10 kg
UNDERLAG,103.429.13,Protects the table top surface and reduces noise from plates and flatware.,Iina Vuorivirta,7,4.6,Dining,Place mats & coasters,1,35 cm,1 cm,45 cm,0.17 kg
ORDENTLIG,301.756.73,Protects the table top surface and reduces noise from plates and flatware.,,5,4.6,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.12 kg
SMAKSINNE,204.031.90,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,na,See Reviews,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.06 kg
ORDENTLIG,001.752.31,Protects the table top surface and reduces noise from plates and flatware.,,8,4.9,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.11 kg
ORDENTLIG,101.756.74,Protects the table top surface and reduces noise from plates and flatware.,,2,5,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.11 kg
SNOBBIG,003.437.72,Protects the table top surface and reduces noise from plates and flatware.,Iina Vuorivirta,6,4.5,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.06 kg
MITTBIT,403.435.72,The runner protects the table and creates a decorative table setting.,Paulin Machado,14,4.3,Dining,Table cloths & runners,1,na,na,36 cm,0.30 kg
MITTBIT,803.435.65,Protects the table top surface and reduces noise from plates and flatware.,Paulin Machado,5,4.8,Dining,Place mats & coasters,1,13 cm,0 cm,36 cm,0.09 kg
MITTBIT,803.435.70,The runner protects the table and creates a decorative table setting.,Paulin Machado,7,5,Dining,Table cloths & runners,1,na,na,36 cm,0.30 kg
MITTBIT,103.428.66,Protects the table top surface and reduces noise from plates and flatware.,Paulin Machado,2,4.5,Dining,Place mats & coasters,1,13 cm,0 cm,36 cm,0.09 kg
PANNÅ,303.511.43,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,7,4.4,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.06 kg
PANNÅ,003.511.49,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,2,4,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.06 kg
PANNÅ,703.511.36,Protects the table top surface and reduces noise from plates and flatware.,IKEA of Sweden,10,3.6,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.06 kg
MÄRIT,202.461.81,Protects the table top surface and reduces noise from plates and flatware.,,4,4.8,Dining,Place mats & coasters,1,12 cm,1 cm,35 cm,0.09 kg
MÄRIT,003.498.92,Colors are retained wash after wash thanks to the yarn-dyed cotton.,,6,5,Dining,Place mats & coasters,1,12 cm,1 cm,35 cm,0.09 kg
MÄRIT,603.498.94,Colors are retained wash after wash thanks to the yarn-dyed cotton.,,8,4.6,Dining,Place mats & coasters,1,12 cm,1 cm,35 cm,0.09 kg
MÄRIT,403.438.07,Protects the table top surface and reduces noise from plates and flatware.,,7,4.6,Dining,Place mats & coasters,1,12 cm,1 cm,35 cm,0.09 kg
MÄRIT,703.498.79,A versatile way to decorate your table – either paired with a tablecloth underneath or on its own making it easier to wipe the table clean. The yarn-dyed cotton retains its colors wash after wash.,,9,4.9,Dining,Table cloths & runners,1,na,na,35 cm,0.24 kg
MÄRIT,702.461.93,A versatile way to decorate your table – either paired with a tablecloth underneath or on its own making it easier to wipe the table clean. The yarn-dyed cotton retains its colors wash after wash.,,10,4.1,Dining,Table cloths & runners,1,na,na,35 cm,0.24 kg
MÄRIT,502.461.89,A versatile way to decorate your table – either paired with a tablecloth underneath or on its own making it easier to wipe the table clean. The yarn-dyed cotton retains its colors wash after wash.,,4,5,Dining,Table cloths & runners,1,na,na,35 cm,0.24 kg
MÄRIT,803.438.10,A versatile way to decorate your table – either paired with a tablecloth underneath or on its own making it easier to wipe the table clean. The yarn-dyed cotton retains its colors wash after wash.,,3,5,Dining,Table cloths & runners,1,na,na,35 cm,0.24 kg
IKEA 365+,602.783.54,IKEA 365+ series has everything for the table – enjoyed for its everyday simplicity or dressed up with colors and accessories.,Maria Vinka,7,4.9,Dining,Table cloths & runners,1,13 cm,6 cm,30 cm,0.85 kg
VARDAGEN,602.878.29,"Life’s a party, but most days are pretty ordinary. Make the most of them by serving up good food on this simple, timeless dinnerware. Like it? There’s a whole series with the same name.",Maria Vinka,5,4.6,Dining,Table cloths & runners,1,13 cm,6 cm,40 cm,0.94 kg
VARDAGEN,202.878.31,"Life’s a party, but most days are pretty ordinary. Make the most of them by serving up good food on this simple, timeless dinnerware. Like it? There’s a whole series with the same name.",Maria Vinka,4,4.8,Dining,Table cloths & runners,1,13 cm,6 cm,30 cm,0.72 kg
GULLMAJ,402.585.59,Cotton/linen blend with the softness of cotton and the matte luster and firmness of linen.,IKEA of Sweden,8,4.3,Dining,Table cloths & runners,1,14 cm,5 cm,28 cm,0.72 kg
GROGGY,600.176.15,Protects the table top surface and reduces noise from glasses and mugs.,A Efverlund/M Vinka,8,4.1,Dining,Place mats & coasters,1,11 cm,3 cm,11 cm,0.35 kg
AVSKILD,402.816.54,Protects the table top surface and reduces noise from plates and flatware.,,22,3.9,Dining,Place mats & coasters,1,32 cm,1 cm,42 cm,0.49 kg
MALINDA,703.081.00,"The extra thick filling provides soft, cushiony comfort even on the hardest of chairs. Two identical sides offers a longer life – simply turn the chair pad over when one side becomes worn or dirty.",IKEA of Sweden,18,4.8,Dining,Chair pads,1,40 cm,8 cm,40 cm,0.50 kg
MALINDA,903.078.40,"The extra thick filling provides soft, cushiony comfort even on the hardest of chairs. Two identical sides offers a longer life – simply turn the chair pad over when one side becomes worn or dirty.",IKEA of Sweden,37,4.3,Dining,Chair pads,1,40 cm,8 cm,40 cm,0.50 kg
MALINDA,403.722.77,"Hook and loop fasteners keep the chair pad in place.
								                                                                                          
								The chair cushion has two identical sides so it can be turned over for even wear.",IKEA of Sweden,28,4.1,Dining,Chair pads,1,44 cm,7 cm,47 cm,0.69 kg
MALINDA,103.722.74,"The extra thick filling provides soft, cushiony comfort even on the hardest of chairs. Two identical sides offers a longer life – simply turn the chair pad over when one side becomes worn or dirty.",IKEA of Sweden,27,4.6,Dining,Chair pads,1,44 cm,7 cm,47 cm,0.69 kg
JUSTINA,503.078.37,"This chair pad is made for long, delicious dinners. The soft foam filling will make even the most restless feel relaxed at the table. Several colors to choose from – pick your favorite.",IKEA of Sweden,40,4.6,Dining,Chair pads,1,40 cm,4 cm,42 cm,0.26 kg
JUSTINA,903.044.22,"This chair pad is made for long, delicious dinners. The soft foam filling will make even the most restless feel relaxed at the table. Several colors to choose from – pick your favorite.",IKEA of Sweden,27,4.9,Dining,Chair pads,1,40 cm,4 cm,42 cm,0.26 kg
JUSTINA,703.078.36,"This chair pad is made for long, delicious dinners. The soft foam filling will make even the most restless feel relaxed at the table. Several colors to choose from – pick your favorite.",IKEA of Sweden,56,4.6,Dining,Chair pads,1,40 cm,4 cm,42 cm,0.26 kg
JUSTINA,203.044.25,"This chair pad is made for long, delicious dinners. The soft foam filling will make even the most restless feel relaxed at the table. Several colors to choose from – pick your favorite.",IKEA of Sweden,37,4.4,Dining,Chair pads,1,40 cm,4 cm,42 cm,0.26 kg
JUSTINA,303.661.54,,,14,4.6,Dining,Chair pads,1,40 cm,4 cm,42 cm,0.21 kg
MARIEBERG,700.802.39,The cushion can be turned over and therefore has two sides for even wear.,IKEA of Sweden,2,5,Dining,Chair pads,1,50 cm,8 cm,51 cm,0.64 kg
BERTIL,901.419.77,Many of our customers love this chair pad. No wonder. It’s soft and fits on many different types of seats. The small anti-slip dots on the back keep it in place – no strings attached.,IKEA of Sweden,14,4.6,Dining,Chair pads,1,33 cm,2 cm,33 cm,0.09 kg
BERTIL,602.651.39,Many of our customers love this chair pad. No wonder. It’s soft and fits on many different types of seats. The small anti-slip dots on the back keep it in place – no strings attached.,IKEA of Sweden,5,3.8,Dining,Chair pads,1,33 cm,2 cm,33 cm,0.09 kg
CILLA,603.044.71,"The backing keeps the chair pad firmly in place.
								                                                                                          
								The flexible round shape fits many different types of seating such as chairs, stools and benches.",IKEA of Sweden,10,4.2,Dining,Chair pads,1,na,na,3 cm,0.13 kg
DYLIK,603.661.76,The tablecloth both protects the table and creates a decorative table setting with atmosphere.,Paulin Machado,3,5,Dining,Table cloths & runners,1,13 cm,7 cm,20 cm,0.80 kg
DYLIK,503.428.45,The tablecloth both protects the table and creates a decorative table setting with atmosphere.,Paulin Machado,2,3.5,Dining,Table cloths & runners,1,13 cm,7 cm,20 cm,0.76 kg
FRAMKALLA,404.073.90,Protects the table top surface and reduces noise from glasses and mugs.,IKEA of Sweden/K Arora,2,5,Dining,Place mats & coasters,1,37 cm,0 cm,37 cm,0.07 kg
FULLKOMLIG,103.430.45,"The table cloth is made from a material that is always smooth immediately after washing, so that you don’t need to iron it.",Paulin Machado,7,4.1,Dining,Table cloths & runners,1,14 cm,5 cm,21 cm,0.57 kg
GALLRA,003.428.62,Protects the table top surface and reduces noise from plates and flatware.,Ida Pettersson Preutz,1,3,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.06 kg
GALLRA,303.982.06,Protects the table top surface and reduces noise from plates and flatware.,Ida Pettersson Preutz,na,See Reviews,Dining,Place mats & coasters,1,33 cm,0 cm,45 cm,0.07 kg
GLATTIS,503.430.05,Protects the table top surface and reduces noise from glasses and mugs.,IKEA of Sweden,8,4.3,Dining,Place mats & coasters,1,11 cm,3 cm,11 cm,0.27 kg
GODDAG,303.437.99,Protects the table top surface and reduces noise from plates and flatware.,Paulin Machado,5,4.6,Dining,Place mats & coasters,1,36 cm,1 cm,46 cm,0.17 kg
GODDAG,903.466.34,Protects the table top surface and reduces noise from plates and flatware.,Paulin Machado,5,4.2,Dining,Place mats & coasters,1,36 cm,1 cm,46 cm,0.17 kg
